RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
3	-1336881	-1929235	12.075955	2.523499	12:04:33N	2:31:25E	31PDP4814334998	ND31-14	L	PRK		BN,NG,UV				BN,NG,UV	N			Parc National	PARCNATIONALDUWDUNIGER	Parc National du W du Niger	Parc National du W du Niger	WDUNIGER PARCNATIONALDU	W du Niger, Parc National du	W du Niger, Parc National du		2012-09-19	1,2,3,4,5	1			2012-09-19		
3	-1100060	-1627965	15	14	15:00:00N	14:00:00E	33PUS9248858569	ND33-02	L	AREA		CD,NG				CD,NG	N				MANGA	Manga	Manga	MANGA	Manga	Manga		2013-02-05	1,2,3,4,5	1			2013-02-15		
3	-3147563	-4441507	16	16	16:00:00N	16:00:00E	33QXT0699669193	NE33-15	L	BSND		CM	00			NG	N				BASSINDULACTCHAD	Bassin du Lac Tchad	Bassin du Lac Tchad	BASSINDULACTCHAD	Bassin du Lac Tchad	Bassin du Lac Tchad		1994-03-29	1,2,3,4,5				1993-09-01		
3	-1103332	-1631994	17	2	17:00:00N	2:00:00E	31QCU9355279827	NE31-10	L	RGN		CD	00			NG	N				SAHEL	Sahel	Sahel	SAHEL	Sahel	Sahel		1994-04-07	1,2,3,4,5				1993-09-01		
3	-1085447	-1609685	17	2	17:00:00N	2:00:00E	31QCU9355279827	NE31-10	L	RGN		NG	00			NG	N				SAHEL	Sahel	Sahel	SAHEL	Sahel	Sahel		1994-03-29	1,2,3,4,5				1993-09-01		
3	-1079003	-1600931	16	16	16:00:00N	16:00:00E	33QXT0699669193	NE33-15	L	BSND		NG	00			NG	N				BASSINDULACTCHAD	Bassin du Lac Tchad	Bassin du Lac Tchad	BASSINDULACTCHAD	Bassin du Lac Tchad	Bassin du Lac Tchad		1994-04-07	1,2,3,4,5				1993-09-01		
1	10085365	10300077	15.1256	1.1188	15:07:32N	1:07:08E	31PBS9784473084	ND31-01	L	AREA		ML	00			NG	N				IGILIMAMA	Igilimama	Igilimama	IGILIMAMA	Igilimama	Igilimama		2008-01-30	1,2,3,4				2008-01-30		
3	10470172	11003534	22.983629	13.791661	22:59:01N	13:47:30E	33QUF7614642218	NF33-06	L	AREA		LY,NG				NG	N				DJEBELATI	Djebel Ati	Djebel Ati	DJEBELATI	Djebel Ati	Djebel Ati		2016-08-11	1,2,3,4	1			2016-08-11		
3	-1100060	-1627973	15	14	15:00:00N	14:00:00E	33PUS9248858569	ND33-02	L	AREA		CD,NG					V				PLATEAUDUMANGA	Plateau du Manga	Plateau du Manga	MANGA PLATEAUDU	Manga, Plateau du	Manga, Plateau du		2013-02-05	1,2,3,4,5				1993-09-01		
3	10470172	11008215	22.983629	13.791661	22:59:01N	13:47:30E	33QUF7614642218	NF33-06	L	AREA		LY,NG				LY	N				JABALATI	Jabal Ati	Jabal Ati	JABALATI	Jabal Ati	Jabal Ati		2016-08-11	1,2,3,4				2016-08-11		
