RC	UFI	UNI	LAT	LONG	DMS_LAT	DMS_LONG	MGRS	JOG	FC	DSG	PC	CC1	ADM1	POP	ELEV	CC2	NT	LC	SHORT_FORM	GENERIC	SORT_NAME_RO	FULL_NAME_RO	FULL_NAME_ND_RO	SORT_NAME_RG	FULL_NAME_RG	FULL_NAME_ND_RG	NOTE	MODIFY_DATE	DISPLAY	NAME_RANK	NAME_LINK	TRANSL_CD	NM_MODIFY_DATE	F_EFCTV_DT	F_TERM_DT
1	-1070924	10253279	15.3429	2.8679	15:20:34N	2:52:04E	31PDS8582196257	ND31-02	P	PPL		ML	00			NG	N				KOURA	Koura	Koura	KOURA	Koura	Koura		2007-11-29	1,2,3,4,5	1			2007-11-29		
1	-1070924	10255808	15.3429	2.8679	15:20:34N	2:52:04E	31PDS8582196257	ND31-02	P	PPL		ML	00			NG	N				KOURA	Koura	Koura	KOURA	Koura	Koura		2007-11-29	1,2,3,4,5				2007-11-30		
1	10158881	10427471	13.336754	8.92849	13:20:12N	8:55:43E	32PMV9225674378	ND32-10	P	PPL		NG	07			NG	N				DANHOUNTOUA	Dan Hountoua	Dan Hountoua	DANHOUNTOUA	Dan Hountoua	Dan Hountoua		2008-04-02	1,2,3,4	1			2008-03-31		
1	-1080497	10697096	14.361478	6.337245	14:21:41N	6:20:14E	32PKA1281189361	ND32-05	P	PPL		NG	06				N				FOTINGEL	Fotingel	Fotingel	FOTINGEL	Fotingel	Fotingel		2008-09-23	1,2,3,4,5	1			2008-09-23		
1	-1080497	-1602935	14.361478	6.337245	14:21:41N	6:20:14E	32PKA1281189361	ND32-05	P	PPL		NG	06				V				FOTINGUEL	Fotinguel	Fotinguel	FOTINGUEL	Fotinguel	Fotinguel		2008-09-23	1,2,3,4,5				2008-09-23		
1	-1083924	10697082	14.265694	6.015111	14:15:56N	6:00:54E	32PJA7790479180	ND32-05	P	PPL		NG	06				N				MADETAII	Madéta II	Madeta II	MADETAII	Madéta II	Madeta II		2008-09-23	1,2,3,4,5	1			2008-09-23		
1	-1083924	-1607688	14.265694	6.015111	14:15:56N	6:00:54E	32PJA7790479180	ND32-05	P	PPL		NG	06				V				MADETTA	Madetta	Madetta	MADETTA	Madetta	Madetta		2008-09-23	1,2,3,4,5				2008-09-23		
3	-1083924	-1607676	14.265694	6.015111	14:15:56N	6:00:54E	32PJA7790479180	ND32-05	P	PPL		NG	06				V				MADATTA	Madatta	Madatta	MADATTA	Madatta	Madatta		2008-09-23	1,2,3,4,5				1993-09-01		
1	-1085470	10889420	11.838984	3.532223	11:50:20N	3:31:56E	31PEP5797208804	NC31-03	P	PPL		NG	03				N				SAKAOUA	Sakaoua	Sakaoua	SAKAOUA	Sakaoua	Sakaoua		2008-12-19	1,2,3,4,5	1			2008-12-19		
1	-1085470	-1609719	11.838984	3.532223	11:50:20N	3:31:56E	31PEP5797208804	NC31-03	P	PPL		NG	03				V				SAKAWA	Sakawa	Sakawa	SAKAWA	Sakawa	Sakawa		2008-12-19	1,2,3,4,5				2008-12-19		
1	-1079087	-1601040	20.956584	12.340072	20:57:24N	12:20:24E	33QTD2340319640	NF33-13	P	PPL	4	NG	01				N				CHIRFA	Chirfa	Chirfa	CHIRFA	Chirfa	Chirfa		2009-09-18	1,2,3,4,5,6,7,8,9	1			2003-07-31		
3	-1079087	-1601042	20.956584	12.340072	20:57:24N	12:20:24E	33QTD2340319640	NF33-13	P	PPL	4	NG	01				V				CHIRFADRIGA	Chirfa Driga	Chirfa Driga	CHIRFADRIGA	Chirfa Driga	Chirfa Driga		2009-09-18	1,2,3,4,5,6,7,8,9				2003-07-31		
1	-1077255	-1598426	19.125131	12.921203	19:07:30N	12:55:16E	33QTB8133315973	NE33-01	P	PPL	4	NG	01				N	fra			ACHENOUMA	Achénouma	Achenouma	ACHENOUMA	Achénouma	Achenouma		2009-10-08	1,2,3,4,5,6,7,8,9	1			2003-07-31		
1	10603434	11268535	19.05067	12.914826	19:03:02N	12:54:53E	33QTB8056407738	NE33-01	P	PPL	4	NG	01				N	fra			LABOULOBOU	Laboulobou	Laboulobou	LABOULOBOU	Laboulobou	Laboulobou		2009-10-08	1,2,3,4	1			2009-10-08		
